#{"t_start": 1744329442.9607615, "env_id": "aisd_examples/CreateRedBall-v0"}
r,l,t
0.0,100,44.650594
0.0,100,78.582126
0.0,100,107.419019
0.0,100,136.339042
0.0,100,163.833392
-9.071875,100,200.715317
-7.1625,100,229.539435
-5.909375,100,264.596599
-8.7375,100,301.470536
-14.44375,100,338.740936
0.0,100,365.365897
0.0,100,391.555958
0.0,100,417.822235
0.0,100,448.389286
-0.53125,100,491.727368
-9.35625,100,522.033044
-14.08125,100,556.34977
-8.996875,100,590.160187
0.0,100,619.7394
-13.640625,100,647.745123
0.0,100,672.726609
0.0,100,698.378749
0.0,100,723.062874
0.0,100,748.150401
0.0,100,773.00897
0.0,100,797.589931
-22.121875,100,828.18335
0.0,100,860.046224
-1.784375,100,885.070784
-17.0875,100,922.253047
0.0,100,947.012213
0.0,100,974.46913
0.0,100,998.710036
0.0,100,1022.80529
0.0,100,1049.030528
-12.8,100,1091.351558
-16.56875,100,1116.810777
0.0,100,1141.259691
0.0,100,1173.637439
-38.3625,100,1210.099481
0.0,100,1234.720322
0.0,100,1258.30411
0.0,100,1284.040487
0.0,100,1308.426898
0.0,100,1332.558933
-7.375,100,1361.815478
-7.240625,100,1390.47582
-7.434375,100,1419.126315
-7.628125,100,1448.784213
-7.084375,100,1479.543143
-33.64375,100,1514.141841
-29.553125,100,1538.723283
-33.38125,100,1563.727374
-26.79375,100,1601.375101
-16.7,100,1642.39784
0.0,100,1674.914538
0.0,100,1699.067661
0.0,100,1723.340912
-14.1625,100,1747.525404
-22.834375,100,1788.844428
0.0,100,1831.045871
-9.4125,100,1871.311541
-12.934375,100,1908.653551
0.0,100,1933.43054
0.0,100,1958.231505
0.0,100,1984.379464
-4.84375,100,2027.140717
-42.890625,100,2063.990838
-7.378125,100,2088.100423
0.0,100,2111.475628
0.0,100,2135.391419
0.0,100,2159.745072
0.0,100,2184.648605
0.0,100,2219.132356
0.0,100,2243.396173
-9.775,100,2272.280694
0.0,100,2299.618283
-12.20625,100,2331.451953
-13.66875,100,2364.149986
-7.771875,100,2389.19537
-12.2,100,2432.570204
0.0,100,2461.125388
0.0,100,2498.219898
0.0,100,2526.771996
0.0,100,2550.469249
-9.003125,100,2579.793438
-8.3375,100,2608.033407
-8.6125,100,2636.462239
-8.115625,100,2665.776253
-6.875,100,2695.80158
-23.040625,100,2736.663239
-46.0625,100,2781.176848
-11.490625,100,2807.983442
-13.7375,100,2834.885211
-47.690625,100,2861.20862
0.0,100,2886.425029
-12.990625,100,2918.006689
-11.671875,100,2950.684448
0.0,100,2975.639913
-12.725,100,3007.761764
0.0,100,3031.306901
0.0,100,3055.888304
0.0,100,3079.98492
0.0,100,3104.003206
0.0,100,3128.27348
-14.984375,100,3155.445215
-1.878125,100,3187.565664
-14.65625,100,3217.515375
0.0,100,3246.953284
-17.815625,100,3279.225577
0.0,100,3308.782733
0.0,100,3332.601074
0.0,100,3356.90754
-7.734375,100,3383.248629
-6.60625,100,3418.530052
0.0,100,3441.957883
0.0,100,3465.592009
-14.615625,100,3489.552699
-15.015625,100,3530.674021
0.0,100,3560.453362
0.0,100,3584.379166
0.0,100,3612.059039
0.0,100,3653.841136
-27.09375,100,3687.230166
-6.765625,100,3711.452063
-4.6,100,3742.611453
-3.63125,100,3768.617101
-12.665625,100,3799.096666
-9.096875,100,3829.022761
-10.9875,100,3860.386735
0.0,100,3884.574212
0.0,100,3910.991408
-7.253125,100,3950.514878
-12.7375,100,3992.75942
-15.925,100,4034.609154
-7.278125,100,4062.753813
-8.53125,100,4092.628954
-10.0375,100,4123.786056
-11.1875,100,4154.666223
-8.840625,100,4185.346307
0.0,100,4209.701051
0.0,100,4233.805218
0.0,100,4258.169682
0.0,100,4282.794451
0.0,100,4307.133525
-23.553125,100,4342.166111
0.0,100,4371.005811
-15.271875,100,4401.091277
-4.953125,100,4435.475219
0.0,100,4461.778595
-18.340625,100,4499.306301
0.0,100,4525.772022
-23.496875,100,4555.712073
0.0,100,4579.712214
0.0,100,4603.882797
-7.8375,100,4632.927807
-7.84375,100,4661.400969
-7.778125,100,4689.403862
-10.45,100,4717.207343
-11.340625,100,4746.545342
-1.74375,100,4775.347848
0.0,100,4800.020863
0.0,100,4824.713467
0.0,100,4848.618934
0.0,100,4873.069906
-9.653125,100,4904.680184
-13.23125,100,4936.895608
-7.725,100,4961.525768
-5.896875,100,4992.419003
-9.903125,100,5024.203864
0.0,100,5048.247525
-22.184375,100,5078.324508
0.0,100,5103.622884
-8.271875,100,5132.071561
0.0,100,5157.211689
-12.81875,100,5189.658418
-11.84375,100,5220.627759
-3.35625,100,5245.556992
-12.203125,100,5275.713954
-9.03125,100,5307.797923
0.0,100,5331.96046
0.0,100,5356.457877
0.0,100,5381.382221
0.0,100,5406.05784
-14.95,100,5430.500407
0.0,100,5459.076929
-13.675,100,5487.071454
-9.825,100,5518.730601
-6.340625,100,5549.596895
-6.440625,100,5575.591218
0.0,100,5614.592061
-3.490625,100,5655.630438
-12.934375,100,5682.505913
0.0,100,5707.794282
-11.15,100,5740.492059
-11.565625,100,5771.6955
0.0,100,5799.641718
-10.184375,100,5825.947901
-8.396875,100,5856.978505
-11.590625,100,5888.103275
-6.50625,100,5919.741014
